"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
bulk common,12,0,Citadel Whale,LED9,Legendary Duelists: Duels From The Deep,LED9-EN026,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.10,0.03
bulk common,14,0,Click & Echo,DUNE,Duelist Nexus,DUNE-EN030,C,NearMint,1st Edition,English,0.08,2024-12-22,0.01,0.10,0.08
bulk common,7,0,Colonel on C-String,DIFO,Dimension Force,DIFO-EN081,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.04
bulk common,8,0,Conbirdable,PHNI,Phantom Nightmare,PHNI-EN084,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.10,0.07
bulk common,11,0,Cornfield Coatl,DUNE,Duelist Nexus,DUNE-EN005,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.19,0.07
bulk common,65,0,Couplet the Melodious Songstress,LEDE,Legacy Of Destruction,LEDE-EN010,C,NearMint,1st Edition,English,0.16,2024-12-18,0.03,0.20,0.18
bulk common,6,0,Cross Keeper,POTE,Power Of The Elements,POTE-EN002,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.18,0.10
bulk common,6,0,Crow Tengu,DIFO,Dimension Force,DIFO-EN094,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.10,0.06
bulk common,8,0,Cucumber Horse,DABL,Darkwing Blast,DABL-EN036,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.15,0.07
bulk common,5,0,Curse of Aramatir,DABL,Darkwing Blast,DABL-EN067,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.11,0.03
bulk common,13,0,Cyber Shark,LED9,Legendary Duelists: Duels From The Deep,LED9-EN048,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.10,0.07
bulk common,13,0,Daidara-Bocchi,DUNE,Duelist Nexus,DUNE-EN093,C,NearMint,1st Edition,English,0.02,2024-12-22,0.01,0.10,0.02
bulk common,5,0,Dark Element,PHNI,Phantom Nightmare,PHNI-EN063,C,NearMint,1st Edition,English,0.11,2024-12-20,0.01,0.15,0.09
bulk common,5,0,Dark Guardian,PHNI,Phantom Nightmare,PHNI-EN013,C,NearMint,1st Edition,English,0.14,2024-12-21,0.01,0.15,0.11
bulk common,5,0,Decisive Battle of Golgonda,DABL,Darkwing Blast,DABL-EN054,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.15,0.10
bulk common,4,0,Devouring Sarcoughagus,DIFO,Dimension Force,DIFO-EN033,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.13,0.05
bulk common,11,0,Diabolica the Draconique General,DUNE,Duelist Nexus,DUNE-EN096,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.12,0.05
bulk common,6,0,Digit Jamming,POTE,Power Of The Elements,POTE-EN068,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.13,0.06
bulk common,6,0,Divine Dragon Titanomakhia,DIFO,Dimension Force,DIFO-EN027,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.11,0.06
bulk common,6,0,Dogmatikaturgy,DIFO,Dimension Force,DIFO-EN073,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.15,0.06
bulk common,13,0,Doomstar Ulka,DUNE,Duelist Nexus,DUNE-EN028,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.10,0.05
bulk common,8,0,Double Dust Tornado Twins,POTE,Power Of The Elements,POTE-EN080,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.10,0.04
bulk common,12,0,Double-Headed Dino King Rex,DUNE,Duelist Nexus,DUNE-EN007,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.11,0.04
bulk common,8,0,Dragonic Pendulum,DABL,Darkwing Blast,DABL-EN065,C,NearMint,1st Edition,English,0.03,2024-12-21,0.01,0.15,0.03
bulk common,10,0,Dramatic Snake-Eye Chase,PHNI,Phantom Nightmare,PHNI-EN062,C,NearMint,1st Edition,English,0.15,2024-12-20,0.01,0.13,0.10
bulk common,12,0,E Stranger Big Bang,PHNI,Phantom Nightmare,PHNI-EN028,C,NearMint,1st Edition,English,0.06,2024-12-21,0.01,0.10,0.05
bulk common,4,0,"Eanoc, Sentry of the Ghoti",POTE,Power Of The Elements,POTE-EN088,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.15,0.10
bulk common,7,0,Earthbound Fusion,PHNI,Phantom Nightmare,PHNI-EN064,C,NearMint,1st Edition,English,0.13,2024-12-20,0.01,0.13,0.10
bulk common,5,0,Emergency Apport,PHNI,Phantom Nightmare,PHNI-EN083,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.06
bulk common,9,0,EMERGENCY!,DUNE,Duelist Nexus,DUNE-EN058,C,NearMint,1st Edition,English,0.02,2024-12-22,0.01,0.15,0.02
bulk common,7,0,Eternal Favorite,PHNI,Phantom Nightmare,PHNI-EN073,C,NearMint,1st Edition,English,0.16,2024-12-20,0.08,0.20,0.14
bulk common,12,0,Evolsaur Lios,DUNE,Duelist Nexus,DUNE-EN018,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.11,0.05
bulk common,13,0,Evoltile Pholis,DUNE,Duelist Nexus,DUNE-EN017,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.10,0.04
bulk common,14,0,"Finis Terrae, Tower of the Necroworld",DUNE,Duelist Nexus,DUNE-EN082,C,NearMint,1st Edition,English,0.03,2024-12-22,0.01,0.10,0.02
bulk common,7,0,Fish Lamp,PHNI,Phantom Nightmare,PHNI-EN044,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.10,0.08
bulk common,11,0,Flock Together,PHNI,Phantom Nightmare,PHNI-EN072,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.10,0.04
bulk common,6,0,Freki the Runick Fangs,DABL,Darkwing Blast,DABL-EN041,C,NearMint,1st Edition,English,0.12,2024-12-21,0.01,0.20,0.10
bulk common,14,0,Frostosaurus,LED9,Legendary Duelists: Duels From The Deep,LED9-EN046,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.12,0.05
bulk common,11,0,Full Armored Black Ray Lancer,LED9,Legendary Duelists: Duels From The Deep,LED9-EN012,C,NearMint,1st Edition,English,0.09,2024-12-20,0.01,0.13,0.11
bulk common,12,0,Fury of Kairyu-Shin,LED9,Legendary Duelists: Duels From The Deep,LED9-EN028,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.10,0.04
bulk common,12,0,Gadget Gamer,POTE,Power Of The Elements,POTE-EN094,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.11,0.07
bulk common,11,0,"Gaia Blaze, the Force of the Sun",DUNE,Duelist Nexus,DUNE-EN042,C,NearMint,1st Edition,English,0.08,2024-12-22,0.01,0.11,0.08
bulk common,9,0,Geistgrinder Golem,PHNI,Phantom Nightmare,PHNI-EN002,C,NearMint,1st Edition,English,0.13,2024-12-21,0.01,0.14,0.12
bulk common,5,0,Generalprobe,DIFO,Dimension Force,DIFO-EN062,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.10,0.06
bulk common,8,0,Ghoti Chain,POTE,Power Of The Elements,POTE-EN091,C,NearMint,1st Edition,English,0.12,2024-12-21,0.01,0.15,0.13
bulk common,6,0,Ghoti Cosmos,DABL,Darkwing Blast,DABL-EN090,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.09
bulk common,6,0,Goblin Biker Boom Mach,PHNI,Phantom Nightmare,PHNI-EN010,C,NearMint,1st Edition,English,0.13,2024-12-21,0.01,0.15,0.13
bulk common,10,0,Goblin Biker Grand Stampede,PHNI,Phantom Nightmare,PHNI-EN075,C,NearMint,1st Edition,English,0.12,2024-12-20,0.01,0.13,0.10
bulk common,8,0,Goblin Freefall Squad,PHNI,Phantom Nightmare,PHNI-EN029,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.10,0.07
bulk common,8,0,"Goblin's Crazy Beast",PHNI,Phantom Nightmare,PHNI-EN048,C,NearMint,1st Edition,English,0.16,2024-12-20,0.01,0.15,0.13
bulk common,10,0,Greed Jar,DUNE,Duelist Nexus,DUNE-EN029,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.10,0.06
bulk common,13,0,Grenosaurus Giga-Cannon,DUNE,Duelist Nexus,DUNE-EN046,C,NearMint,1st Edition,English,0.12,2024-12-22,0.01,0.14,0.12
bulk common,5,0,Gunkan Suship Shari Red,POTE,Power Of The Elements,POTE-EN026,C,NearMint,1st Edition,English,0.12,2024-12-21,0.05,0.22,0.11
bulk common,8,0,Han-Shi Kyudo Spirit,DABL,Darkwing Blast,DABL-EN032,C,NearMint,1st Edition,English,0.02,2024-12-21,0.01,0.15,0.04
bulk common,5,0,Haunted Zombies,DIFO,Dimension Force,DIFO-EN076,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.14,0.05
bulk common,7,0,Heroic Challenger - Knuckle Sword,DIFO,Dimension Force,DIFO-EN015,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.09
bulk common,7,0,Heroic Challenger - Morning Star,DIFO,Dimension Force,DIFO-EN016,C,NearMint,1st Edition,English,0.09,2024-12-20,0.01,0.15,0.11
bulk common,3,0,Heroic Champion - Jarngreipr,DIFO,Dimension Force,DIFO-EN045,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.11,0.10
bulk common,9,0,Hydralander Orbit,POTE,Power Of The Elements,POTE-EN039,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.15,0.09
bulk common,8,0,Icejade Creation Aegirocassis,POTE,Power Of The Elements,POTE-EN010,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.08
bulk common,4,0,Icejade Curse,DIFO,Dimension Force,DIFO-EN056,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.15,0.03
bulk common,4,0,"Ichiroku's Ledger Book",DIFO,Dimension Force,DIFO-EN078,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.13,0.03
bulk common,7,0,Infernalqueen Salmon,DABL,Darkwing Blast,DABL-EN031,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.15,0.06
bulk common,9,0,"Ixeep, Omen of the Ghoti",DABL,Darkwing Blast,DABL-EN086,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.19,0.09
bulk common,7,0,Jongleur-Ghoul Illusionist,PHNI,Phantom Nightmare,PHNI-EN035,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.11,0.08
bulk common,6,0,Junk Dragonlet,PHNI,Phantom Nightmare,PHNI-EN099,C,NearMint,1st Edition,English,0.05,2024-12-21,0.01,0.10,0.05
bulk common,13,0,Jurassic Power,DUNE,Duelist Nexus,DUNE-EN053,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.10,0.04
bulk common,5,0,Kagero the Cannon Ninja,DABL,Darkwing Blast,DABL-EN018,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.08
bulk common,4,0,Kashtira Ogre,DABL,Darkwing Blast,DABL-EN014,C,NearMint,1st Edition,English,0.20,2024-12-21,0.02,0.21,0.14
bulk common,2,0,Kashtira Preparations,DABL,Darkwing Blast,DABL-EN076,C,NearMint,1st Edition,English,0.13,2024-12-21,0.01,0.19,0.10
bulk common,4,0,Krawler Soma,POTE,Power Of The Elements,POTE-EN029,C,NearMint,1st Edition,English,0.16,2024-12-21,0.03,0.18,0.13
bulk common,13,0,Kuibelt the Blade Dragon,DUNE,Duelist Nexus,DUNE-EN083,C,NearMint,1st Edition,English,0.14,2024-12-22,0.05,0.20,0.11
bulk common,4,0,Laughing Puffin,DABL,Darkwing Blast,DABL-EN033,C,NearMint,1st Edition,English,0.02,2024-12-21,0.01,0.10,0.02
bulk common,17,0,"Lemuria, the Forgotten City",LED9,Legendary Duelists: Duels From The Deep,LED9-EN055,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.10,0.03
bulk common,11,0,Life Extreme,POTE,Power Of The Elements,POTE-EN099,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.14,0.03
bulk common,5,0,Light Law Medium,DIFO,Dimension Force,DIFO-EN026,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.10,0.04
bulk common,22,0,Lyrilusc - Cobalt Sparrow,LED8,Legendary Duelists: Synchro Storm,LED8-EN042,C,NearMint,1st Edition,English,0.11,2024-12-21,0.01,0.20,0.11
bulk common,21,0,Lyrilusc - Sapphire Swallow,LED8,Legendary Duelists: Synchro Storm,LED8-EN043,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.16,0.08
bulk common,16,0,Lyrilusc - Turquoise Warbler,LED8,Legendary Duelists: Synchro Storm,LED8-EN044,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.15,0.09
bulk common,7,0,Mad Mauler,DIFO,Dimension Force,DIFO-EN013,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.16,0.05
bulk common,15,0,Magikey Deity - Ashtartu,DUNE,Duelist Nexus,DUNE-EN099,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.11,0.05
bulk common,9,0,Magmacho Dragon,PHNI,Phantom Nightmare,PHNI-EN025,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.10,0.07
bulk common,21,0,"Mariamne, the True Dracophoenix",LED8,Legendary Duelists: Synchro Storm,LED8-EN051,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.12,0.04
bulk common,11,0,Marincess Battle Ocean,LED9,Legendary Duelists: Duels From The Deep,LED9-EN044,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.11,0.04
bulk common,16,0,Marincess Blue Tang,LED9,Legendary Duelists: Duels From The Deep,LED9-EN051,C,NearMint,1st Edition,English,0.09,2024-12-20,0.01,0.18,0.08
bulk common,12,0,Marincess Crystal Heart,LED9,Legendary Duelists: Duels From The Deep,LED9-EN042,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.11,0.03
bulk common,16,0,Marincess Marbled Rock,LED9,Legendary Duelists: Duels From The Deep,LED9-EN054,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.12,0.04
bulk common,12,0,Marincess Pascalus,LED9,Legendary Duelists: Duels From The Deep,LED9-EN039,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.19,0.06
bulk common,13,0,Marincess Sea Angel,LED9,Legendary Duelists: Duels From The Deep,LED9-EN040,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.13,0.04
bulk common,13,0,Marincess Sea Horse,LED9,Legendary Duelists: Duels From The Deep,LED9-EN038,C,NearMint,1st Edition,English,0.12,2024-12-20,0.01,0.19,0.11
bulk common,12,0,Marincess Wave,LED9,Legendary Duelists: Duels From The Deep,LED9-EN045,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.16,0.03
bulk common,14,0,Marincess Wonder Heart,LED9,Legendary Duelists: Duels From The Deep,LED9-EN043,C,NearMint,1st Edition,English,0.03,2024-12-20,0.01,0.10,0.03
bulk common,9,0,Master of Ham,PHNI,Phantom Nightmare,PHNI-EN040,C,NearMint,1st Edition,English,0.11,2024-12-20,0.01,0.14,0.11
bulk common,7,0,Materiactor Annulus,DIFO,Dimension Force,DIFO-EN066,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.10,0.07
bulk common,7,0,Materialization,PHNI,Phantom Nightmare,PHNI-EN071,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.10,0.05
bulk common,7,0,Mature Chronicle,PHNI,Phantom Nightmare,PHNI-EN055,C,NearMint,1st Edition,English,0.11,2024-12-20,0.02,0.15,0.09
bulk common,6,0,Melffy Pinny,POTE,Power Of The Elements,POTE-EN023,C,NearMint,1st Edition,English,0.09,2024-12-21,0.04,0.18,0.08
bulk common,10,0,Melffy Wally,POTE,Power Of The Elements,POTE-EN022,C,NearMint,1st Edition,English,0.08,2024-12-21,0.02,0.16,0.07
bulk common,12,0,Mementotlan Ghattic,PHNI,Phantom Nightmare,PHNI-EN017,C,NearMint,1st Edition,English,0.11,2024-12-21,0.03,0.15,0.12
bulk common,130,0,Mementotlan Twin Dragon,LEDE,Legacy Of Destruction,LEDE-EN037,C,NearMint,1st Edition,English,0.09,2024-12-18,0.01,0.15,0.09
bulk common,8,0,Merry Melffys,POTE,Power Of The Elements,POTE-EN045,C,NearMint,1st Edition,English,0.06,2024-12-21,0.02,0.15,0.06
bulk common,10,0,Mikanko Spiritwalk,DUNE,Duelist Nexus,DUNE-EN076,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.15,0.04
bulk common,12,0,Million-Century Ice Prison,DUNE,Duelist Nexus,DUNE-EN066,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.12,0.06
bulk common,9,0,Mimesis Elephant,POTE,Power Of The Elements,POTE-EN085,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.10,0.06
bulk common,10,0,Mokey Mokey Adrift,POTE,Power Of The Elements,POTE-EN030,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.08
bulk common,8,0,Mokomoko,PHNI,Phantom Nightmare,PHNI-EN033,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.10,0.08
bulk common,9,0,Morphtronic Converter,POTE,Power Of The Elements,POTE-EN098,C,NearMint,1st Edition,English,0.12,2024-12-21,0.01,0.14,0.11
bulk common,9,0,Morphtronic Earfon,POTE,Power Of The Elements,POTE-EN096,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.15,0.10
bulk common,7,0,Morphtronic Scannen,POTE,Power Of The Elements,POTE-EN095,C,NearMint,1st Edition,English,0.06,2024-12-21,0.01,0.15,0.03
bulk common,7,0,Morphtronic Telefon,POTE,Power Of The Elements,POTE-EN093,C,NearMint,1st Edition,English,0.05,2024-12-21,0.01,0.15,0.03
bulk common,6,0,Musical Sumo Dice Games,DIFO,Dimension Force,DIFO-EN047,C,NearMint,1st Edition,English,0.08,2024-12-20,0.01,0.10,0.08
bulk common,6,0,Mystic Potato,PHNI,Phantom Nightmare,PHNI-EN098,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.11,0.05
bulk common,6,0,Naturia Blessing,DABL,Darkwing Blast,DABL-EN064,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.18,0.07
bulk common,5,0,Naturia Camellia,DABL,Darkwing Blast,DABL-EN021,C,NearMint,1st Edition,English,0.06,2024-12-21,0.01,0.17,0.05
bulk common,4,0,Naturia Mole Cricket,DABL,Darkwing Blast,DABL-EN020,C,NearMint,1st Edition,English,0.05,2024-12-21,0.01,0.15,0.05
bulk common,22,0,Necro Fleur,LED8,Legendary Duelists: Synchro Storm,LED8-EN029,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.10,0.04
bulk common,13,0,Nemleria Dream Devourer - Reveil,DUNE,Duelist Nexus,DUNE-EN016,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.15,0.05
bulk common,12,0,Nemleria Louve,DUNE,Duelist Nexus,DUNE-EN073,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.11,0.06
bulk common,13,0,New World Formation,DUNE,Duelist Nexus,DUNE-EN070,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.10,0.05
bulk common,13,0,New World Stars,DUNE,Duelist Nexus,DUNE-EN071,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.10,0.04
bulk common,9,0,Nightmell the Dark Bonder,POTE,Power Of The Elements,POTE-EN038,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.13,0.06
bulk common,6,0,Ninjitsu Art of Dancing Leaves,DABL,Darkwing Blast,DABL-EN077,C,NearMint,1st Edition,English,0.14,2024-12-21,0.01,0.20,0.14
bulk common,5,0,Ninjitsu Art Tool - Iron Digger,DABL,Darkwing Blast,DABL-EN062,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.18,0.07
bulk common,20,0,Noble Knight Joan,LED8,Legendary Duelists: Synchro Storm,LED8-EN030,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.10,0.07
bulk common,14,0,Number 71: Rebarian Shark,LED9,Legendary Duelists: Duels From The Deep,LED9-EN013,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.12,0.04
bulk common,13,0,Number C101: Silent Honor DARK,LED9,Legendary Duelists: Duels From The Deep,LED9-EN010,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.06
bulk common,6,0,Omega Judgment,DIFO,Dimension Force,DIFO-EN084,C,NearMint,1st Edition,English,0.14,2024-12-20,0.01,0.14,0.14
bulk common,6,0,Original Bamboo Sword,DABL,Darkwing Blast,DABL-EN070,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.15,0.10
bulk common,8,0,Over Fusion,POTE,Power Of The Elements,POTE-EN054,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.15,0.09
bulk common,11,0,Overexaggeration,DUNE,Duelist Nexus,DUNE-EN065,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.10,0.06
bulk common,8,0,Parasomnia Pillow,DIFO,Dimension Force,DIFO-EN067,C,NearMint,1st Edition,English,0.05,2024-12-20,0.01,0.10,0.05
